station_name,station_type,latitude,longitude
HAW PAR VILLA MRT STATION,MRT,1.28235,103.78186
HOLLAND VILLAGE MRT STATION,MRT,1.31246,103.79626
HOUGANG MRT STATION,MRT,1.3712,103.89238
JALAN BESAR MRT STATION,MRT,1.3053,103.85532
JOO KOON MRT STATION,MRT,1.32772,103.67822
JURONG EAST MRT STATION,MRT,1.33319,103.74238
KAKI BUKIT MRT STATION,MRT,1.33475,103.90837
KALLANG MRT STATION,MRT,1.31143,103.87124
KATONG PARK MRT STATION,MRT,1.30161,103.89571
KEMBANGAN MRT STATION,MRT,1.32085,103.91299
KENT RIDGE MRT STATION,MRT,1.29352,103.78444
KHATIB MRT STATION,MRT,1.41721,103.833
KOVAN MRT STATION,MRT,1.36071,103.88485
KRANJI MRT STATION,MRT,1.42495,103.76202
LABRADOR PARK MRT STATION,MRT,1.27229,103.80237
LAKESIDE MRT STATION,MRT,1.34426,103.72076
LAVENDER MRT STATION,MRT,1.30704,103.86306
LENTOR MRT STATION,MRT,1.38489,103.83523
LITTLE INDIA MRT STATION,MRT,1.30675,103.84933
LORONG CHUAN MRT STATION,MRT,1.35162,103.86432
MACPHERSON MRT STATION,MRT,1.32698,103.8899
MARINA BAY MRT STATION,MRT,1.27622,103.85424
MARINA SOUTH PIER MRT STATION,MRT,1.27135,103.86315
MARINE PARADE MRT STATION,MRT,1.30247,103.90629
MARINE TERRACE MRT STATION,MRT,1.30643,103.91288
MARSILING MRT STATION,MRT,1.43261,103.77383
MARYMOUNT MRT STATION,MRT,1.34884,103.83938
MATTAR MRT STATION,MRT,1.32642,103.88296
MAXWELL MRT STATION,MRT,1.2799,103.84417
MAYFLOWER MRT STATION,MRT,1.3682,103.83675
MOUNTBATTEN MRT STATION,MRT,1.30631,103.88221
NAPIER MRT STATION,MRT,1.31181,103.82063
NEWTON MRT STATION,MRT,1.31264,103.83818
NICOLL HIGHWAY MRT STATION,MRT,1.29981,103.86359
NOVENA MRT STATION,MRT,1.32033,103.84384
ORCHARD BOULEVARD MRT STATION,MRT,1.30186,103.8244
ORCHARD MRT STATION,MRT,1.30438,103.83189
OUTRAM PARK MRT STATION,MRT,1.28027,103.83954
PASIR PANJANG MRT STATION,MRT,1.27616,103.79114
PASIR RIS MRT STATION,MRT,1.37293,103.94939
PAYA LEBAR MRT STATION,MRT,1.31741,103.89243
PIONEER MRT STATION,MRT,1.33752,103.69739
POTONG PASIR MRT STATION,MRT,1.33181,103.86896
PROMENADE MRT STATION,MRT,1.2931,103.86115
PUNGGOL MRT STATION,MRT,1.40512,103.90226
QUEENSTOWN MRT STATION,MRT,1.29412,103.8061
RAFFLES PLACE MRT STATION,MRT,1.28399,103.85141
REDHILL MRT STATION,MRT,1.2897,103.81687
SEMBAWANG MRT STATION,MRT,1.44912,103.82012
SENGKANG MRT STATION,MRT,1.39173,103.89518
SERANGOON MRT STATION,MRT,1.34972,103.8733
SHENTON WAY MRT STATION,MRT,1.27898,103.84963
SIGLAP MRT STATION,MRT,1.31384,103.92722
SIMEI MRT STATION,MRT,1.34381,103.95334
SOMERSET MRT STATION,MRT,1.30037,103.83892
SPRINGLEAF MRT STATION,MRT,1.3979,103.81899
STADIUM MRT STATION,MRT,1.30303,103.87541
STEVENS MRT STATION,MRT,1.32003,103.82566
TAI SENG MRT STATION,MRT,1.33588,103.88805
TAMPINES EAST MRT STATION,MRT,1.35637,103.95474
TAMPINES MRT STATION,MRT,1.35353,103.9453
TAMPINES WEST MRT STATION,MRT,1.34538,103.93826
TANAH MERAH MRT STATION,MRT,1.32737,103.94636
TANJONG KATONG MRT STATION,MRT,1.30766,103.90073
TANJONG PAGAR MRT STATION,MRT,1.27637,103.84568
TANJONG RHU MRT STATION,MRT,1.29396,103.87567
TELOK AYER MRT STATION,MRT,1.28201,103.84848
TELOK BLANGAH MRT STATION,MRT,1.27054,103.8097
TIONG BAHRU MRT STATION,MRT,1.28605,103.82687
TOA PAYOH MRT STATION,MRT,1.33268,103.84733
TUAS CRESCENT MRT STATION,MRT,1.32094,103.64925
TUAS LINK MRT STATION,MRT,1.3404,103.63663
TUAS WEST ROAD MRT STATION,MRT,1.32998,103.64
UBI MRT STATION,MRT,1.32991,103.89969
UPPER CHANGI MRT STATION,MRT,1.34152,103.96158
UPPER THOMSON MRT STATION,MRT,1.35486,103.83503
WOODLANDS MRT STATION,MRT,1.43689,103.78657
WOODLANDS NORTH MRT STATION,MRT,1.44837,103.78559
WOODLANDS SOUTH MRT STATION,MRT,1.42788,103.79414
WOODLEIGH MRT STATION,MRT,1.339,103.8707
YEW TEE MRT STATION,MRT,1.39708,103.74723
YIO CHU KANG MRT STATION,MRT,1.38197,103.84484
YISHUN MRT STATION,MRT,1.42942,103.835
CHANGI AIRPORT,MRT,1.355961889,103.9880749
BRAS BASAH,MRT,1.297632233,103.8505183
ESPLANADE,MRT,1.293470538,103.8555575
ONE NORTH,MRT,1.299034825,103.7871891
PUNGGOL COAST,MRT,1.414966629,103.9107289
ROCHOR,MRT,1.303609929,103.8526074
TAN KAH KEE,MRT,1.326467836,103.8079349
SIXTH AVENUE,MRT,1.330898228,103.7975831
KING ALBERT PARK,MRT,1.335961343,103.7831096
HUME,MRT,1.355185138,103.7688397
HILLVIEW,MRT,1.362406189,103.7673659
CASHEW,MRT,1.369918873,103.7646286
BUJIK PANJANG MRT,MRT,1.379273536,103.7618076
