name,category,lat,lon
PRIME,supermarket,1.4401493,103.8016636
PRIME,supermarket,1.4458917,103.7978443
NTUC FairPrice,supermarket,1.4385636,103.7952187
NTUC FairPrice,supermarket,1.430908,103.7907695
,supermarket,1.448068,103.801034
Giant,supermarket,1.4425618,103.7904903
NTUC FairPrice,supermarket,1.4325561,103.7744928
NTUC FairPrice,supermarket,1.4289998,103.8350138
Cold Storage,supermarket,1.4292976,103.8357691
Seven eleven,supermarket,1.3234468,103.8173675
Sheng Siong,supermarket,1.310071,103.7687703
NTUC FairPrice,supermarket,1.3571301,103.8438701
NTUC FairPrice Xtra,supermarket,1.3331979,103.7428255
Nafisa Grocery Store,supermarket,1.3417884,103.6885444
Indian (Tamil) Grocery Store,supermarket,1.3415839,103.6920953
Indian Grocery Store,supermarket,1.3417003,103.6925857
NTUC Fairprice,supermarket,1.3269686,103.8464206
FairPrice Finest,supermarket,1.3036947,103.9029454
Fairprice Xpress,supermarket,1.3082402,103.907885
Sheng Siong,supermarket,1.3014833,103.7985027
NTUC FairPrice,supermarket,1.2847507,103.8293553
Sheng Siong,supermarket,1.4315023,103.7737451
NTUC FairPrice,supermarket,1.3652321,103.8650384
NTUC FairPrice,supermarket,1.331762,103.8505926
Cold Storage,supermarket,1.3098863,103.902122
NTUC FairPrice,supermarket,1.3970146,103.7472724
Sheng Siong,supermarket,1.3783815,103.7538826
Prime,supermarket,1.3807961,103.7518581
NTUC FairPrice,supermarket,1.3800132,103.7532539
Prime,supermarket,1.3778535,103.744165
NTUC Fairprice,supermarket,1.3088289,103.8619207
Giant,supermarket,1.3321583,103.8573011
Cold Storage,supermarket,1.3075324,103.8289836
FairPrice Xtra @ Sports Hub,supermarket,1.3041749,103.8728359
Bes Price Minimart,supermarket,1.312588,103.9000383
Gateway Minimart & Trading,supermarket,1.3146529,103.8985494
Al Barakah,supermarket,1.3151015,103.8982503
81 Wholesalers & Trading,supermarket,1.3142952,103.8988241
I-Tec,supermarket,1.3095028,103.8574489
Koryo Mart,supermarket,1.2804239,103.8473639
Tanjong Hwaro,supermarket,1.2782263,103.8438656
Cold Storage,supermarket,1.2746068,103.8443166
NTUC Fairprice,supermarket,1.3049616,103.7814866
Giant,supermarket,1.3102679,103.7880372
NTUC FairPrice,supermarket,1.3328116,103.8472498
Sheng Siong,supermarket,1.3080768,103.7858814
Cold Storage,supermarket,1.3128367,103.9235157
NTUC Fairprice,supermarket,1.3551916,103.9883413
NTUC Fairprice,supermarket,1.3561808,103.9863723
Cold Storage,supermarket,1.319605,103.8271903
CS Fresh,supermarket,1.3227092,103.8144067
NTUC FairPrice,supermarket,1.3242903,103.9238735
Giant Express,supermarket,1.3481032,103.6855222
Prime Supermarket,supermarket,1.3468178,103.6809884
NTUC Pasar,supermarket,1.3777363,103.7726306
Giant,supermarket,1.3786855,103.7728973
Sheng Siong,supermarket,1.3879115,103.7699226
Cold Storage,supermarket,1.3017518,103.7695285
NTUC Fairprice,supermarket,1.3142787,103.8887345
Cold Storage,supermarket,1.2920393,103.8425504
NTUC Fairprice,supermarket,1.4069699,103.9016244
Indian Grocery Store,supermarket,1.3437025,103.689662
Indian Grocery Store,supermarket,1.3433926,103.6908111
Indian Grocery Store,supermarket,1.3415355,103.6909282
Convenience Store,supermarket,1.3415163,103.6909
TL98 International Provision Shop,supermarket,1.4313522,103.8290218
FairPrice,supermarket,1.3665818,103.8415821
NTUC FairPrice,supermarket,1.3245854,103.9414492
Sheng Siong,supermarket,1.3529769,103.7437581
Sheng Siong,supermarket,1.3555088,103.7392341
Sheng Siong,supermarket,1.3324563,103.9255968
NTUC Fairprice,supermarket,1.2731352,103.8090769
NTUC Fairprice,supermarket,1.3076622,103.8848527
Ellyza Frozen Food,supermarket,1.4405928,103.8018411
,supermarket,1.3121463,103.7596285
Ang Mo Supermarket,supermarket,1.3362868,103.8480895
NTUC Fairprice,supermarket,1.3244802,103.9288247
HAO Eccellente,supermarket,1.3149206,103.8945139
Cold Storage,supermarket,1.2470189,103.8397133
Sheng Siong,supermarket,1.312653,103.8786231
Tuas South Supermarket,supermarket,1.2951161,103.6268595
NTUC Fairprice,supermarket,1.3785209,103.7639776
Cold Storage,supermarket,1.294999,103.8591405
Giant Express,supermarket,1.3421799,103.7761711
Sheng Siong,supermarket,1.2869661,103.8416702
Giant,supermarket,1.3497894,103.725451
Warehouse Club,supermarket,1.3272092,103.6786571
NTUC FairPrice,supermarket,1.315391,103.8985788
Giant,supermarket,1.3809089,103.8792312
Sheng Siong,supermarket,1.3292654,103.88833
NTUC Fairprice,supermarket,1.3850202,103.7604035
NTUC FairPrice,supermarket,1.371469,103.8470492
NTUC Fairprice,supermarket,1.3602084,103.9534624
NTUC FairPrice,supermarket,1.3657245,103.7493073
NTUC FairPrice,supermarket,1.348632,103.7492808
Cold Storage,supermarket,1.3501202,103.7494149
208e Geylang,supermarket,1.3119052,103.8765016
Sheng Siong,supermarket,1.3757418,103.8718519
CS Fresh,supermarket,1.3636865,103.7643794
Giant,supermarket,1.3854121,103.7662073
German Market Place,supermarket,1.3243853,103.8094584
Eat Organic,supermarket,1.3245822,103.8091521
Fortune Supermarket,supermarket,1.4556955,103.8145673
Sheng Siong,supermarket,1.3079553,103.8572122
Mannai Supermarket,supermarket,1.3044903,103.8545898
Giant,supermarket,1.2826694,103.8257856
NTUC FairPrice,supermarket,1.2898277,103.8267592
NTUC FairPrice,supermarket,1.3321123,103.9382333
NTUC Fairprice,supermarket,1.3536024,103.9405041
NTUC Fairprice,supermarket,1.3091415,103.7928136
NTUC FairPrice,supermarket,1.3345284,103.7201308
Telok Blangah Mall,supermarket,1.2736798,103.8089509
Tampines Mart,supermarket,1.3543718,103.9600249
Sheng Siong,supermarket,1.4110086,103.9003954
U Stars Supermarket,supermarket,1.4054147,103.8968874
U Stars Megamart,supermarket,1.403353,103.894994
Smart99,supermarket,1.353655,103.6881014
NTUC Fairprice,supermarket,1.4048623,103.9085261
Prime,supermarket,1.3232119,103.9240875
Trading Store,supermarket,1.3174181,103.6521903
NTUC FairPrice,supermarket,1.3744432,103.8856498
NTUC FairPrice,supermarket,1.3718302,103.8941221
NTUC Fairprice,supermarket,1.3863502,103.8931925
Sheng Siong,supermarket,1.4336189,103.7799353
NTUC Fairprice,supermarket,1.4399794,103.8005133
Isetan,supermarket,1.305645,103.831586
Shine Korea Supermarket,supermarket,1.3018337,103.8525786
U Stars Supermarket,supermarket,1.3964212,103.8890273
NTUC FairPrice,supermarket,1.3633878,103.8354915
Ang Mo Supermarket,supermarket,1.3687701,103.8346254
NTUC FairPrice,supermarket,1.3477065,103.7573892
Sheng Siong,supermarket,1.3023596,103.7637976
Giant (Express),supermarket,1.346701,103.757482
NTUC FairPrice,supermarket,1.4290442,103.7811686
Iroha Mart,supermarket,1.3008678,103.8452662
U Stars Super Market,supermarket,1.3778545,103.7494678
Giant,supermarket,1.3299687,103.9019594
U Stars Supermarket,supermarket,1.3742952,103.7465004
Giant,supermarket,1.3334291,103.914137
Sheng Siong,supermarket,1.3990861,103.8894388
U Stars Supermarket,supermarket,1.3326569,103.9145443
Little Farms,supermarket,1.3107524,103.795202
Little Farms,supermarket,1.2930751,103.8267442
Little Farms,supermarket,1.3170084,103.8434398
Little Farms,supermarket,1.2768898,103.845801
Fair Price,supermarket,1.4110973,103.8435897
Sheng Siong,supermarket,1.3324962,103.8671383
Ang Mo Supermarket,supermarket,1.3322734,103.8684226
U Stars Xpress,supermarket,1.3175959,103.8524655
U Stars Mega Mart,supermarket,1.3778764,103.7494081
U Stars Supermarket,supermarket,1.3899417,103.8928342
NTUC Fairprice,supermarket,1.2738786,103.8013013
Prime supermarket,supermarket,1.3210368,103.9347053
NTUC FairPrice,supermarket,1.3698274,103.8731096
NTUC FairPrice,supermarket,1.3773078,103.9035432
NTUC Fairprice,supermarket,1.2934982,103.7846403
Sheng Siong,supermarket,1.3487508,103.7032901
Prime,supermarket,1.3485988,103.6983097
I-Tec,supermarket,1.3134045,103.8851494
Yes Natural Retail,supermarket,1.3158211,103.8837425
Sheng Siong,supermarket,1.3522389,103.715901
Shafen Supermarket,supermarket,1.3211109,103.7382196
Wah Cheong,supermarket,1.3096677,103.8842822
Swanston,supermarket,1.2854613,103.8430302
KDS Supermarket,supermarket,1.3127942,103.8711163
Maha mart,supermarket,1.2740384,103.8103393
Scoop Wholefoods,supermarket,1.3047518,103.8234804
Prime SuperMarket,supermarket,1.4251164,103.8332429
UnPackt,supermarket,1.2772417,103.8486417
UnPackt,supermarket,1.3727295,103.8295882
Cold Storage,supermarket,1.3107963,103.8638602
HAO Eccellente,supermarket,1.2924588,103.8583556
SuperNature,supermarket,1.3061755,103.8288115
Don Don Donki,supermarket,1.311611,103.8565105
NTUC FairPrice,supermarket,1.3209299,103.8702956
FairPrice,supermarket,1.3190161,103.8638661
NTUC FairPrice Finest,supermarket,1.2910424,103.8502148
NTUC FairPrice,supermarket,1.331674,103.8685537
NTUC FairPrice,supermarket,1.4289409,103.8359955
Sheng Siong,supermarket,1.4018757,103.8921304
Scarlett,supermarket,1.29999,103.8543229
NTUC FairPrice,supermarket,1.3487949,103.8496434
NTUC Fairprice,supermarket,1.2769332,103.8313294
NTUC FairPrice,supermarket,1.3471669,103.7428387
NTUC FairPrice,supermarket,1.453886,103.8195194
NTUC Fairprice,supermarket,1.328377,103.8853008
FairPrice Shop Blk 5 Eunos Crescent,supermarket,1.3211968,103.9035553
NTUC FairPrice Xtra,supermarket,1.3348478,103.9637744
NTUC Fairprice,supermarket,1.2864788,103.8083891
NTUC FairPrice,supermarket,1.3158326,103.8982559
NTUC FairPrice,supermarket,1.3923315,103.872624
NTUC FairPrice,supermarket,1.3425048,103.7393663
NTUC FairPrice,supermarket,1.3455068,103.7311864
NTUC Fairprice,supermarket,1.3485084,103.7241529
NTUC FairPrice,supermarket,1.4170652,103.8353476
NTUC FairPrice,supermarket,1.3920764,103.7429541
NTUC FairPrice,supermarket,1.3317511,103.8791816
NTUC Fairprice,supermarket,1.4112844,103.8435315
NTUC Fairprice,supermarket,1.4027599,103.9133166
NTUC Fairprice,supermarket,1.2863838,103.8142036
NTUC FairPrice Finest,supermarket,1.3911684,103.8759756
NTUC FairPrice,supermarket,1.3540387,103.8707537
NTUC FairPrice,supermarket,1.3364335,103.8888115
NTUC FairPrice,supermarket,1.3554024,103.9325575
NTUC FairPrice,supermarket,1.3472751,103.9569647
NTUC FairPrice,supermarket,1.3126523,103.8727631
NTUC FairPrice,supermarket,1.3388217,103.8489919
NTUC FairPrice,supermarket,1.3117956,103.7591074
NTUC FairPrice,supermarket,1.3320147,103.7226023
NTUC FairPrice Finest,supermarket,1.4180875,103.8410061
NTUC FairPrice,supermarket,1.4246275,103.8466717
Cold Storage,supermarket,1.3314654,103.8067968
Cold Storage,supermarket,1.2775827,103.8525052
Cold Storage,supermarket,1.3368125,103.783834
NTUC FairPrice Xtra,supermarket,1.2647712,103.8230258
Giant Express,supermarket,1.4499976,103.81414
Giant,supermarket,1.3742656,103.8392817
Sheng Siong,supermarket,1.319175,103.7333208
Sheng Siong,supermarket,1.3444059,103.7553403
Sheng Siong,supermarket,1.3474556,103.7437317
Sheng Siong,supermarket,1.4507862,103.7968231
Sheng Siong,supermarket,1.3839521,103.7708865
Sheng Siong,supermarket,1.4311005,103.7985065
Sheng Siong,supermarket,1.4468922,103.8055002
Sheng Siong,supermarket,1.4489117,103.8323549
Sheng Siong,supermarket,1.4160254,103.8349534
Sheng Siong,supermarket,1.4201172,103.8435501
Sheng Siong,supermarket,1.3561466,103.9459483
Sheng Siong,supermarket,1.3140474,103.8704826
Sheng Siong,supermarket,1.2954188,103.8100462
Sheng Siong,supermarket,1.3216926,103.8596186
Sheng Siong,supermarket,1.3313147,103.9366634
Sheng Siong,supermarket,1.3670929,103.9647716
Sheng Siong,supermarket,1.3696509,103.9479234
Sheng Siong,supermarket,1.393146,103.8870307
Sheng Siong,supermarket,1.3518705,103.8360699
Sheng Siong,supermarket,1.3783709,103.9419858
Sheng Siong,supermarket,1.3390393,103.8554033
Sheng Siong,supermarket,1.3917064,103.8801703
Sheng Siong,supermarket,1.3978089,103.8813041
Sheng Siong,supermarket,1.402634,103.9165726
Sheng Siong,supermarket,1.4037905,103.9061683
Giant,supermarket,1.4524553,103.8172929
Giant,supermarket,1.4311426,103.7941833
Giant,supermarket,1.3647722,103.847405
Giant,supermarket,1.4057405,103.912079
Giant,supermarket,1.372842,103.8539753
Giant,supermarket,1.4171386,103.832905
Giant,supermarket,1.4005639,103.9105302
Giant,supermarket,1.4364339,103.8374596
Giant,supermarket,1.4250761,103.8473487
Giant Bishan 512,supermarket,1.3497162,103.8499272
Giant,supermarket,1.2777804,103.8192758
Giant,supermarket,1.2869001,103.8184225
Giant Express,supermarket,1.3833813,103.7711297
Giant,supermarket,1.3533018,103.8714468
Giant Hougang 683,supermarket,1.3737908,103.8861522
Giant,supermarket,1.3543836,103.9602606
Giant,supermarket,1.3690709,103.9585122
Giant,supermarket,1.3749201,103.9369569
Giant,supermarket,1.3663512,103.9645143
Giant,supermarket,1.3492091,103.9348376
Giant,supermarket,1.3337835,103.9308648
Giant,supermarket,1.3191162,103.8924825
Giant,supermarket,1.3056156,103.9154038
Ang Mo Supermarket,supermarket,1.4456364,103.8310112
Ang Mo Supermarket,supermarket,1.3580864,103.8442103
Ang Mo Supermarket,supermarket,1.3618993,103.8554186
Ang Mo Supermarket,supermarket,1.3716327,103.8802545
Ang Mo Supermarket,supermarket,1.3994303,103.9161651
Ang Mo Supermarket,supermarket,1.3993974,103.9064796
Cold Storage,supermarket,1.3008369,103.9054998
Cold Storage,supermarket,1.3008369,103.9054998
Sheng Siong,supermarket,1.4428927,103.7748706
Hao Mart,supermarket,1.3278267,103.8611225
Hao Mart,supermarket,1.3281476,103.8602173
Toy Station,supermarket,1.3225742,103.8137376
Ang Mo Supermarket,supermarket,1.4462194,103.8143512
NTUC Fairprice,supermarket,1.3361915,103.7868805
Prime,supermarket,1.3952215,103.8959287
Sheng Siong,supermarket,1.4353435,103.7759132
Hao Mart,supermarket,1.3730856,103.8295881
Meidi-Ya,supermarket,1.2939643,103.8319923
Selvi Stores,supermarket,1.3061466,103.8500303
Wet Market,supermarket,1.3473084,103.7438535
Sheng Siong,supermarket,1.3443716,103.7550894
NTUC FairPrice,supermarket,1.334117,103.7403709
Jmart,supermarket,1.364222,103.8489685
Haniffa,supermarket,1.3058966,103.8526085
Meidi-Ya,supermarket,1.2918384,103.8595448
Don Don Donki,supermarket,1.2635544,103.8202252
HAO Eccellente,supermarket,1.293658,103.855349
Sheng Siong,supermarket,1.3610846,103.9374407
NTUC Fairprice,supermarket,1.3271466,103.6779931
Sheng Siong,supermarket,1.3918936,103.871457
Prime,supermarket,1.3963709,103.9090457
DON DON DONKI Jem,supermarket,1.3327906,103.7430876
NTUC FairPrice Finest,supermarket,1.317775,103.8929956
NTUC Fairprice,supermarket,1.30519,103.8513117
FairPrice SingPost Centre,supermarket,1.3190301,103.8938497
Prime Supermarket,supermarket,1.3081107,103.8605103
Hao Mart,supermarket,1.3082098,103.8604142
Value Dollar,supermarket,1.3337369,103.9142968
NTUC FairPrice,supermarket,1.4430051,103.8306834
Interior Artist Pte Ltd,supermarket,1.3131662,103.8566188
,supermarket,1.3180595,103.8614978
YeoExpress,supermarket,1.380551,103.7696864
Prime,supermarket,1.3485388,103.7428281
my Supermarket,supermarket,1.313576,103.8569542
The Captain Superstore,supermarket,1.3263118,103.8425333
Giant Express,supermarket,1.3726391,103.8538715
NTUC FairPrice,supermarket,1.3599355,103.9696555
NTUC Fairprice,supermarket,1.3085642,103.7847344
Save Mart,supermarket,1.2814277,103.8421059
Univers-Markt Enterprise Pte. Ltd.,supermarket,1.3110935,103.7716015
Free & Easy Minimart,supermarket,1.3137808,103.7624229
U Stars Supermarket @ 345,supermarket,1.3175955,103.7693303
Redman,supermarket,1.4169957,103.9019048
Giant Supermarket,supermarket,1.4166861,103.9017438
Ramya Minimart,supermarket,1.3614167,103.9580841
M28 Minimart,supermarket,1.3873727,103.7726114
Ang Mo Supermarket,supermarket,1.4382576,103.803627
Sri Murugan,supermarket,1.3495601,103.9332669
Ang Mo Supermarket,supermarket,1.4382764,103.8036399
Prime Supermarket,supermarket,1.4447047,103.8159919
U Stars Xpress,supermarket,1.3702816,103.8721951
Krishna Stores,supermarket,1.3851473,103.7429918
U Stars Supermarket,supermarket,1.2739509,103.8086629
U Stars Supermarket,supermarket,1.3510967,103.9293207
U Stars Supermarket,supermarket,1.4151041,103.8399222
U Stars Supermarket,supermarket,1.4404745,103.806297
U Stars Supermarket,supermarket,1.3533544,103.9525615
U Stars Supermarket,supermarket,1.3810408,103.7522696
U Stars Supermarket,supermarket,1.3786288,103.9421553
U Stars Supermarket,supermarket,1.4366436,103.8366613
U Stars Supermarket,supermarket,1.3320409,103.9305111
U Stars Supermarket,supermarket,1.3148526,103.8823136
U Stars Supermarket,supermarket,1.345878,103.9454948
U Stars Supermarket,supermarket,1.3300973,103.9010705
U Stars Supermarket,supermarket,1.3399945,103.7731494
U Stars Supermarket,supermarket,1.3414333,103.6912467
U Stars Supermarket,supermarket,1.3532511,103.8897356
Ang Mo Supermarket,supermarket,1.336438,103.8728643
U Star Supermarket,supermarket,1.3492994,103.9348381
Don Don Donki,supermarket,1.377213,103.9549765
Jason's Deli,supermarket,1.2844899,103.8602433
Prime Supermarket,supermarket,1.3736137,103.8713274
Prime Supermarket,supermarket,1.334275,103.8788956
Prime Supermarket,supermarket,1.3518731,103.8796115
Prime Supermarket,supermarket,1.4288283,103.8500035
Prime Supermarket,supermarket,1.3540084,103.8909356
Prime Supermarket,supermarket,1.3485344,103.9339014
Prime Supermarket,supermarket,1.3647233,103.9373235
NTUC Fairprice,supermarket,1.3561864,103.7407008
NTUC Fairprice,supermarket,1.3686099,103.856046
NTUC FairPrice,supermarket,1.345386,103.9454495
NTUC FairPrice,supermarket,1.3483943,103.9481354
Bizgram Asia Pte Ltd,supermarket,1.3032323,103.8531612
Pick & Go,supermarket,1.3407298,103.9627729
UglyFood,supermarket,1.3407334,103.9626627
Farmer,supermarket,1.326405,103.8467095
,supermarket,1.2919972,103.8508677
PRIME,supermarket,1.3230167,103.9240385
Scoop Wholefoods,supermarket,1.4060061,103.9021265
Fancy Mart,supermarket,1.3053624,103.9047745
J-mart,supermarket,1.3054399,103.904823
Sri Murugan,supermarket,1.3429652,103.9531897
Giant Supermarket,supermarket,1.3432179,103.9532924
HAO Eccellente,supermarket,1.3076599,103.8335416
KL Mart,supermarket,1.3298063,103.8738978
New Econ,supermarket,1.3277292,103.8852461
Hao Mart,supermarket,1.399826,103.9193669
NTUC FairPrice Finest,supermarket,1.3104,103.7961374
J Mart,supermarket,1.3720748,103.8887513
Fairprice Xpress,supermarket,1.3007277,103.8496842
Li Cheng Supermarket,supermarket,1.4025273,103.9013643
HAO Mart,supermarket,1.3998191,103.9194725
Scarlett,supermarket,1.4068218,103.9029569
Fortune Supermarket,supermarket,1.4020081,103.9137946
Don Don Donki,supermarket,1.3208756,103.8439889
Sheng Siong,supermarket,1.3878258,103.763142
Balu Supermarket,supermarket,1.3218547,103.6605328
Mei Tang,supermarket,1.3262681,103.8637132
Sheng Siong,supermarket,1.3571637,103.7436814
FairPrice Senja Heights,supermarket,1.3869539,103.7616549
FairPrice Xpress,supermarket,1.304817,103.7725315
Honest Bee Habitat,supermarket,1.2762273,103.7971243
Sheng Siong,supermarket,1.3632233,103.8952516
FairPrice Finest,supermarket,1.3825576,103.8922195
Fairprice Xpress,supermarket,1.3184958,103.9024297
FairPrice Finest,supermarket,1.3505336,103.8488463
Scarlett Supermarket,supermarket,1.3338571,103.8877974
BNM Trading,supermarket,1.3103697,103.9018416
NTUC FairPrice Finest,supermarket,1.3385533,103.8712185
Eccellente by Hao Mart,supermarket,1.316766,103.7831583
MCP FAIRMART 百鮮超市,supermarket,1.3328871,103.9379857
Chaung Thar Myanmar Minimart,supermarket,1.3438372,103.7367607
Thai Supermarket,supermarket,1.3097081,103.8643862
"Sing Hiong Market, Bakery & Confectionery",supermarket,1.3331217,103.8787865
Sri Murugan Trading Pte Ltd,supermarket,1.3472178,103.7576464
NTUC Fairprice,supermarket,1.397714,103.9196121
Quan Shui Wet Market,supermarket,1.3836916,103.8280781
NTUC Fairprice,supermarket,1.3655022,103.7750303
HAO Eccellente,supermarket,1.3011717,103.8404406
Don Don Donki,supermarket,1.3596752,103.9895144
Shine Korea,supermarket,1.30938,103.8642993
,supermarket,1.3224483,103.859819
Shwe Innwa,supermarket,1.2921331,103.8509462
OVM Super Store,supermarket,1.3228067,103.8522385
Sheng Siong,supermarket,1.4328979,103.8413083
CS Fresh,supermarket,1.3114694,103.7938895
NTUC Fairprice,supermarket,1.3251781,103.8510683
Big G Market,supermarket,1.3153671,103.9054847
Finest Gourmet,supermarket,1.3167154,103.835276
Shine Korea,supermarket,1.2964128,103.8538356
NTUC FairPrice Finest Clarke Quay,supermarket,1.2910606,103.8454824
Little Farms,supermarket,1.3068977,103.9044849
NTUC Fairprice,supermarket,1.3968408,103.8887344
Sheng Siong,supermarket,1.4264721,103.8523288
Ang mo supermarket,supermarket,1.3362266,103.8481281
CS Fresh,supermarket,1.3172829,103.8361658
Cold Storage,supermarket,1.3734003,103.9483566
Scarlett Supermarket,supermarket,1.3735783,103.9485573
Shafen Supermarket,supermarket,1.3212835,103.7368405
Giant Supermarket,supermarket,1.3577052,103.7341028
Norman,supermarket,1.401599,103.8925761
Shine Korea,supermarket,1.3010984,103.8552433
Sheng Siong,supermarket,1.3221996,103.7637347
Scarlett,supermarket,1.4181227,103.9012068
Scarlett 思家客,supermarket,1.2851743,103.8447256
Scarlett 思家客,supermarket,1.3918557,103.8759328
Scarlett 思家客,supermarket,1.3342909,103.7427095
TaoYuan 桃園,supermarket,1.4295823,103.8356806
NTUC FairPrice Finest,supermarket,1.3521474,103.9439445
Sheng Siong,supermarket,1.3171819,103.9466204
FairPrice,supermarket,1.4174709,103.9113649
Giant Mega Tampines,supermarket,1.3721266,103.9319998
Sunnychoice,supermarket,1.3593085,103.7676508
Cold Storage,supermarket,1.3603085,103.7675591
