Rank (2024),School,Vacancies (2024),Applicants (2024),Ratio (2024),Ballot (2024),Rank (2022),Rank (2023),,school_name,latitude,longitude
,,,,,,,,,MAYFLOWER PRIMARY SCHOOL,1.376398733,103.8431658
,,,,,,,,,MERIDIAN PRIMARY SCHOOL,1.375506771,103.9349533
,,,,,,,,,METHODIST GIRLS' SCHOOL (PRIMARY),1.332662136,103.7833821
,,,,,,,,,MONTFORT JUNIOR SCHOOL,1.373624452,103.8897415
,,,,,,,,,NAN CHIAU PRIMARY SCHOOL,1.392211499,103.8911809
,,,,,,,,,NAN HUA PRIMARY SCHOOL,1.3192016,103.7610951
,,,,,,,,,NANYANG PRIMARY SCHOOL,1.321070942,103.8076819
,,,,,,,,,NAVAL BASE PRIMARY SCHOOL,1.415901957,103.8391006
,,,,,,,,,NEW TOWN PRIMARY SCHOOL,1.299641882,103.8001022
,,,,,,,,,NGEE ANN PRIMARY SCHOOL,1.305532242,103.91757
,,,,,,,,,NORTH SPRING PRIMARY SCHOOL,1.387075824,103.9030886
,,,,,,,,,NORTH VIEW PRIMARY SCHOOL,1.427451595,103.8483784
,,,,,,,,,NORTH VISTA PRIMARY SCHOOL,1.382550662,103.8962646
,,,,,,,,,NORTHLAND PRIMARY SCHOOL,1.421304042,103.8407929
,,,,,,,,,NORTHOAKS PRIMARY SCHOOL,1.457328673,103.8140756
,,,,,,,,,NORTHSHORE PRIMARY SCHOOL,1.418423221,103.9051472
,,,,,,,,,OASIS PRIMARY SCHOOL,1.405071848,103.9112002
,,,,,,,,,OPERA ESTATE PRIMARY SCHOOL,1.319968764,103.9237527
,,,,,,,,,PALM VIEW PRIMARY SCHOOL,1.38376923,103.8913547
,,,,,,,,,PARK VIEW PRIMARY SCHOOL,1.378016876,103.9392022
,,,,,,,,,PASIR RIS PRIMARY SCHOOL,1.372451327,103.9629227
,,,,,,,,,PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),1.35025456,103.8848469
,,,,,,,,,PEI CHUN PUBLIC SCHOOL,1.336778644,103.8553413
,,,,,,,,,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,1.338073021,103.7762509
,,,,,,,,,PEI TONG PRIMARY SCHOOL,1.316665293,103.767439
,,,,,,,,,PEIYING PRIMARY SCHOOL,1.417233397,103.8304171
,,,,,,,,,PIONEER PRIMARY SCHOOL,1.354425929,103.7327909
,,,,,,,,,POI CHING SCHOOL,1.357651219,103.9352465
,,,,,,,,,PRINCESS ELIZABETH PRIMARY SCHOOL,1.349190989,103.7407192
,,,,,,,,,PUNGGOL COVE PRIMARY SCHOOL,1.411584556,103.8989045
,,,,,,,,,PUNGGOL GREEN PRIMARY SCHOOL,1.401725905,103.8987943
,,,,,,,,,PUNGGOL PRIMARY SCHOOL,1.378200625,103.8946672
,,,,,,,,,PUNGGOL VIEW PRIMARY SCHOOL,1.405052502,103.905299
,,,,,,,,,QIFA PRIMARY SCHOOL,1.313265833,103.7566291
,,,,,,,,,QIHUA PRIMARY SCHOOL,1.442035966,103.7883398
,,,,,,,,,QUEENSTOWN PRIMARY SCHOOL,1.295529056,103.8076485
,,,,,,,,,RADIN MAS PRIMARY SCHOOL,1.275155108,103.8239121
,,,,,,,,,RAFFLES GIRLS' PRIMARY SCHOOL,1.330041781,103.8063978
,,,,,,,,,RED SWASTIKA SCHOOL,1.334056596,103.9343175
,,,,,,,,,RIVER VALLEY PRIMARY SCHOOL,1.294183478,103.8360189
,,,,,,,,,RIVERSIDE PRIMARY SCHOOL,1.447004265,103.801889
,,,,,,,,,UNITY PRIMARY SCHOOL,1.402783032,103.7468012
,,,,,,,,,RIVERVALE PRIMARY SCHOOL,1.393335063,103.9045453
,,,,,,,,,ROSYTH SCHOOL,1.372858365,103.8747717
,,,,,,,,,RULANG PRIMARY SCHOOL,1.346738689,103.718458
,,,,,,,,,SEMBAWANG PRIMARY SCHOOL,1.44574531,103.8211527
,,,,,,,,,SENG KANG PRIMARY SCHOOL,1.389250448,103.8995279
,,,,,,,,,SENGKANG GREEN PRIMARY SCHOOL,1.39283925,103.8751588
,,,,,,,,,SHUQUN PRIMARY SCHOOL,1.346869673,103.7215594
,,,,,,,,,SI LING PRIMARY SCHOOL,1.432409357,103.7860351
,,,,,,,,,SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,1.320807252,103.8277447
,,,,,,,,,SOUTH VIEW PRIMARY SCHOOL,1.38143124,103.7471537
,,,,,,,,,SPRINGDALE PRIMARY SCHOOL,1.39495818,103.8898965
,,,,,,,,,ST ANDREW'S SCHOOL (JUNIOR),1.331402553,103.8651171
,,,,,,,,,ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,1.335171404,103.9405447
,,,,,,,,,ST. ANTHONY'S PRIMARY SCHOOL,1.364119485,103.7492519
,,,,,,,,,ST. GABRIEL'S PRIMARY SCHOOL,1.349307668,103.8623099
,,,,,,,,,ST. HILDA'S PRIMARY SCHOOL,1.34967979,103.9370164
,,,,,,,,,ST. JOSEPH'S INSTITUTION JUNIOR,1.317814761,103.8456333
,,,,,,,,,ST. MARGARET'S SCHOOL (PRIMARY),1.303903557,103.8459553
,,,,,,,,,ST. STEPHEN'S SCHOOL,1.318789973,103.9172581
,,,,,,,,,TAMPINES NORTH PRIMARY SCHOOL,1.36048786,103.9487689
,,,,,,,,,TAMPINES PRIMARY SCHOOL,1.350486395,103.9435731
,,,,,,,,,TANJONG KATONG PRIMARY SCHOOL,1.30498489,103.9
,,,,,,,,,TAO NAN SCHOOL,1.305285287,103.9115532
,,,,,,,,,TECK GHEE PRIMARY SCHOOL,1.365650185,103.8510098
,,,,,,,,,TECK WHYE PRIMARY SCHOOL,1.383886605,103.7539246
,,,,,,,,,TELOK KURAU PRIMARY SCHOOL,1.33109611,103.9110053
