geometry,latitude,longitude,OBJECTID,LANDXADDRESSPOINT,LANDYADDRESSPOINT,ADDRESSBUILDINGNAME,ADDRESSPOSTALCODE,ADDRESSSTREETNAME,DESCRIPTION,NAME,PHOTOURL,ADDRESSBLOCKHOUSENUMBER,STATUS,AWARDED_DATE,IMPLEMENTATION_DATE,INFO_ON_CO_LOCATORS,ADDRESS_MYENV,EST_ORIGINAL_COMPLETION_DATE,HUP_COMPLETION_DATE,NUMBER_OF_COOKED_FOOD_STALLS,INC_CRC,FMEL_UPD_D
"{""type"":""Point"",""coordinates"":[103.8369645086122,1.3520255700711772]}",1.3520255700711772,103.8369645086122,119161,28405.75077116,37125.63452608,SHUNFU MART,570320,Shunfu Road,Not eligible for HUP,Shunfu Road Blk 320 (Shunfu Mart),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1259901832200.jpg,320,Existing,,,,"Blk 320, Shunfu Road, Singapore 570320",25/5/2000,,31,4831ADD86699BD3F,20241211100036
"{""type"":""Point"",""coordinates"":[103.74274811937117,1.3208310935185843]}",1.3208310935185843,103.74274811937117,119162,17920.39927038,33676.49238838,TEBAN GARDENS MARKET AND FOOD CENTRE,601037,Teban Gardens Road,HUP Rebuilding,Teban Gardens Road Blk 37A (Teban Gardens Market and Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153022672.jpg,37A,Existing,,,,"Blk 37A, Teban Garden Road, Singapore 601037",1/11/1976,03/01/2008,28,E94B6EA742E53EFC,20241211100036
"{""type"":""Point"",""coordinates"":[103.93057030470072,1.324782370224249]}",1.324782370224249,103.93057030470072,119163,38823.14338418,34113.43285923,HAWKER CENTRE (BLK 208B NEW UPPER CHANGI ROAD),462208,New Upper Changi Road,New Replacement Centre,New Upper Changi Road Blk 208B,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/bedok-interchange-hawker-centre.jpg,208B,Existing,,,,"Blk 208B, New Upper Changi Road, Singapore 462208",15/11/2014,,70,B69DBB3ACF48B2E9,20241211100036
"{""type"":""Point"",""coordinates"":[103.73170383842115,1.3454169827607771]}",1.3454169827607771,103.73170383842115,119164,16691.39049253,36395.12594053,YUHUA MARKET & HAWKER CENTRE,600347,Jurong East Ave 1,HUP Standard Upgrading,Jurong East Ave 1 Blk 347 (Yuhua Market and Hawker Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1275537901886.jpg,347,Existing,,,,"Blk 347, Jurong East Ave 1, Singapore 600347",17/10/1984,31/12/2002,56,B2C6CBF3E9E782D0,20241211100036
"{""type"":""Point"",""coordinates"":[103.88843734465244,1.3967931535173355]}",1.3967931535173355,103.88843734465244,119165,34133.98291329,42075.87775599,ANCHORVALE VILLAGE,540339,Anchorvale Road,New Centre,Anchorvale Village Hawker Centre,,339,Existing (new),27/04/2018,28/05/2018,hawker centre/supermarket/shops/flats,,14/12/2023,,36,BAB6C40F76BEA27C,20241211100036
"{""type"":""Point"",""coordinates"":[103.88293193010286,1.3753225375634037]}",1.3753225375634037,103.88293193010286,119166,33521.35329301,39701.75151904,CI YUAN COMMUNITY CLUB,538776,Hougang Avenue 9,New Centre,Ci Yuan Hawker Centre,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/ci-yuan-hawker-centre.jpg,51,Existing (new),,,hawker centre/community club/family medicine clinic/senior care centre,"51 Hougang Avenue 9, Singapore 538776",2/7/2015,,40,64EFE9B0F122B27A,20241211100036
"{""type"":""Point"",""coordinates"":[103.82236354225992,1.2727612859808173]}",1.2727612859808173,103.82236354225992,119167,26780.78969957,28360.99976911,TELOK BLANGAH RISE MARKET,090036,Telok Blangah Rise,HUP Standard Upgrading,Telok Blangah Rise Blk 36 (Telok Blangah Rise Market),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267858653663.jpg,36,Existing,,,,"Blk 36, Telok Blangah Rise, Singapore 090036",29/10/1975,20/10/2010,24,1CE605407C250F16,20241211100036
"{""type"":""Point"",""coordinates"":[103.94040813551574,1.3531335979472119]}",1.3531335979472119,103.94040813551574,119168,39917.85977723,37248.41723766,OUR TAMPINES HUB,528523,Tampines Walk,New Centre,Hawker Centre @ Our Tampines Hub,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/our-tampines-hub.jpg,1,Existing (new),07/05/2014,01/08/2013,hawker centre/ community club  offices/regional library/heritage centre/swimming complex/sports facilities/branch hawker centre/office/national arts council/hometeam ns clubhouse/family medical centre/senior care centre,"1 Tampines Walk, Singapore 528523",6/8/2016,,42,053EF9B31EADBB7A,20241211100036
"{""type"":""Point"",""coordinates"":[103.72158379761716,1.3347210666007077]}",1.3347210666007077,103.72158379761716,119169,15565.08528148,35212.47315484,TAMAN JURONG MARKET & FOOD CENTRE,618499,Yung Sheng Road,HUP Rebuilding,Taman Jurong Market and Food Centre,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262156147897.jpg,3,Existing,,,,"3, Yung Sheng Road, Singapore 618499",23/3/2005,23/03/2005,122,F11CFF4FE7B0A7EE,20241211100036
"{""type"":""Point"",""coordinates"":[103.85023293507001,1.3161312806032646]}",1.3161312806032646,103.85023293507001,119112,29882.40411023,33156.63386578,PEK KIO MARKET & FOOD CENTRE,211041,Cambridge Road,HUP Reconfiguration,Cambridge Road Blk 41A (Pek Kio Market and Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265166819326.jpg,41A,Existing,,,,"Blk 41A, Cambridge Road, Singapore 211041",18/12/1981,07/03/2003,50,02548C1B803D2CED,20241211100036
"{""type"":""Point"",""coordinates"":[103.93547363751794,1.3205008376701182]}",1.3205008376701182,103.93547363751794,119113,39368.8552748,33640.02422007,MARKET & HAWKER CENTRE (BLK 16 BEDOK SOUTH ROAD),460016,Bedok South Road,HUP Standard Upgrading,Bedok South Road Blk 16,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267853021378.jpg,16,Existing,,,,"Blk 16, Bedok South Road, Singapore 460016",12/5/1975,20/09/2012,64,EFB4BCE43DAC8C1D,20241211100036
"{""type"":""Point"",""coordinates"":[103.82901736490587,1.4308539599603998]}",1.4308539599603998,103.82901736490587,119114,27521.3394163,45842.07838519,Chong Pang City,768677,Yishun Ring Road,New Replacement Centre,Chong Pang Hawker Centre & Market,,21,Under Construction,24/11/2023,22/12/2023,hawker centre/market/community club/swimming pool/gym,,2027,,58,325A4576CEA75848,20250405100117
"{""type"":""Point"",""coordinates"":[103.86302092286022,1.31921667863285]}",1.31921667863285,103.86302092286022,119115,31305.57937032,33497.81472958,BENDEMEER MARKET AND FOOD CENTRE,330029,Bendemeer Road,HUP Standard Upgrading,Bendemeer Road Blk 29 (Bendemeer Market and Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262226446535.jpg,29,Existing,,,,"Blk 29, Bendemeer Road, Singapore 330029",17/3/1971,31/12/2004,88,41C11572F3060998,20241211100036
"{""type"":""Point"",""coordinates"":[103.85445795532793,1.3727720934379934]}",1.3727720934379934,103.85445795532793,119116,30352.55379559,39419.68935461,CHENG SAN MARKET AND COOKED FOOD CENTRE,560527,Ang Mo Kio Ave 10,HUP Reconfiguration,Ang Mo Kio Ave 10 Blk 527 (Cheng San Market and Cooked Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265165592824.jpg,527,Existing,,,,"Blk 527, Ang Mo Kio Ave 10, Singapore 560527",24/12/1979,21/02/2004,50,CB2269FC071D3629,20241211100036
"{""type"":""Point"",""coordinates"":[103.79773798037208,1.3005440753273743]}",1.3005440753273743,103.79773798037208,119117,24040.19908613,31433.1024719,TANGLIN HALT MARKET,148813,Tanglin Halt Road,HUP Standard Upgrading,Tanglin Halt Market,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262156211794.jpg,48A,Existing,,,,"48A, Tanglin Halt Road, Singapore 148813",1964,01/10/2003,28,29B1F4B91E9DDCDD,20241211100036
"{""type"":""Point"",""coordinates"":[103.85688878360739,1.307344109232522]}",1.307344109232522,103.85688878360739,119118,30623.14481794,32184.99962546,BERSEH FOOD CENTRE,208877,Jalan Besar,HUP Standard Upgrading,Berseh Food Centre,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265176120532.jpg,166,Existing,,,,"166, Jalan Besar, Singapore 208877",1975,05/03/2004,66,229898E92C5D1166,20241211100036
"{""type"":""Point"",""coordinates"":[103.93876843904202,1.3320048242420148]}",1.3320048242420148,103.93876843904202,119119,39735.48061643,34912.09347255,FENGSHAN CENTRE,460085,Bedok North Street 4,HUP Standard Upgrading,Bedok North Street 4 Blk 85 (85 Fengshan Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267853253145.jpg,85,Existing,,,,"Blk 85, Bedok North Street 4, Singapore 460085",30/6/1977,20/12/2012,72,C18185348EEDF740,20241211100036
"{""type"":""Point"",""coordinates"":[103.80072071145584,1.4397495181298368]}",1.4397495181298368,103.80072071145584,119120,24372.35981837,46825.72998362,KAMPUNG ADMIRALTY,730676,Woodlands Drive 71,New Centre,Kampung Admiralty Hawker Centre,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/kampung-admiralty-hawker-centre.jpg,676,Existing (new),17/10/2014,01/04/2014,studio apartments/supermarket/shops/specialist centre/senior care centre/child care centre/senior activity centre,"Blk 676, Woodlands Drive 71, Singapore 730676",8/5/2017,,43,AB1CA2CEA2B94E77,20241211100036
"{""type"":""Point"",""coordinates"":[103.85439575904685,1.3402610465757185]}",1.3402610465757185,103.85439575904685,119121,30345.6633799,35824.78335709,MARKET & HAWKER CENTRE (BLK 210 TOA PAYOH LORONG 8),310210,Lorong 8 Toa Payoh,HUP Standard Upgrading,Toa Payoh Lorong 8 Blk 210,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267876959422.jpg,210,Existing,,,,"Blk 210, Lorong 8 Toa Payoh, Singapore 310210",27/8/1974,30/09/2011,80,83ECAD89A5501F1E,20241211100036
"{""type"":""Point"",""coordinates"":[103.82601329649792,1.2800048011364626]}",1.2800048011364626,103.82601329649792,119122,27186.98116791,29161.9488236,MARKET & HAWKER CENTRE (BLK 112 JALAN BUKIT MERAH),160112,Jalan Bukit Merah,HUP Standard Upgrading,Jalan Bukit Merah Blk 112 (Blk 112 Jalan Bukit Merah Market and Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267874698833.jpg,112,Existing,,,,"Blk 112, Jalan Bukit Merah, Singapore 160112",1/1/1969,28/11/2013,22,4FA9BB03234F998D,20241211100036
"{""type"":""Point"",""coordinates"":[103.80036727142618,1.3069001323584224]}",1.3069001323584224,103.80036727142618,119123,24332.82477688,32135.91866726,COMMONWEALTH CRESCENT MARKET,149644,Commonwealth Crescent,HUP Rebuilding,Commonwealth Crescent Market,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265167388780.jpg,31,Existing,,,,"31, Commonwealth Crescent, Singapore 149644",1965,18/08/2004,39,40D5D8D44A44BFA9,20241211100036
"{""type"":""Point"",""coordinates"":[103.76451719252249,1.3133196935787612]}",1.3133196935787612,103.76451719252249,119108,20343.06133913,32845.84205763,MARKET & HAWKER CENTRE (BLK 448 CLEMENTI AVENUE 3),120448,Clementi Ave 3,HUP Standard Upgrading,Clementi Ave 3 Blk 448,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267848308255.jpg,448,Existing,,,,"Blk 448, Clementi Ave 3, Singapore 120448",12/1/1980,29/10/2010,51,7BC059A9A43ADEEF,20241211100036
"{""type"":""Point"",""coordinates"":[103.89822788513564,1.316736349282815]}",1.316736349282815,103.89822788513564,119109,35223.77721764,33223.62687191,SRI GEYLANG SERAI,402001,Geylang Serai,HUP Rebuilding,Geylang Serai Market,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155542468.jpg,1,Existing,,,,"1, Geylang Serai, Singapore 402001",3/7/2009,03/07/2009,63,48EC137ED2F24011,20241211100036
"{""type"":""Point"",""coordinates"":[103.8081312742836,1.2868829730421196]}",1.2868829730421196,103.8081312742836,119110,25196.86438637,29922.51415261,ABC BRICKWORKS MARKET & FOOD CENTRE,150006,Jalan Bukit Merah,HUP Reconfiguration,Jalan Bukit Merah Blk 6 (ABC Brickworks Market/Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267760203.jpg,6,Existing,,,,"Blk 6, Jalan Bukit Merah, Singapore 150006",11/10/1974,11/08/2006,96,46D96BF7A763169D,20241211100036
"{""type"":""Point"",""coordinates"":[103.91573703509026,1.3057297360038187]}",1.3057297360038187,103.91573703509026,119111,37172.41732708,32006.62849053,MARKET & HAWKER CENTRE (BLK 50A MARINE TERRACE),441050,Marine Terrace,HUP Standard Upgrading,Marine Terrace Blk 50A (50A Marine Terrace),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153165514.jpg,50A,Existing,,,,"Blk 50A, Marine Terrace, Singapore 441050",3/3/1975,22/12/2008,24,8EC8FEF7D7309ACF,20241211100036
"{""type"":""Point"",""coordinates"":[103.83218154655142,1.2847855982150984]}",1.2847855982150984,103.83218154655142,119041,27873.45773709,29690.58348755,TIONG BAHRU MARKET,168898,Seng Poh Road,HUP Rebuilding,Tiong Bahru Market,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262156378375.jpg,30,Existing,,,,"30, Seng Poh Road, Singapore 168898",,10/02/2006,83,2AC5BFAA02772895,20241211100036
"{""type"":""Point"",""coordinates"":[103.85528829790343,1.3626541076693122]}",1.3626541076693122,103.85528829790343,119042,30444.97096974,38300.89478051,MARKET & HAWKER CENTRE (BLK 409 ANG MO KIO AVE 10),560409,Ang Mo Kio Ave 10,HUP Standard Upgrading,Ang Mo Kio Ave 10 Blk 409 (Teck Ghee Square),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1275538704472.jpg,409,Existing,,,,"Blk 409, Ang Mo Kio Ave 10, Singapore 560409",31/7/1979,28/11/2011,40,2F07B3246BDB3538,20241211100036
"{""type"":""Point"",""coordinates"":[103.80563670047233,1.3162405292821697]}",1.3162405292821697,103.80563670047233,119043,24919.27489162,33168.72483562,EMPRESS ROAD MARKET AND FOOD CENTRE,260007,Empress Road,HUP Standard Upgrading,Empress Road Blk 7 (Empress Road Market and Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262152572393.jpg,7,Existing,,,,"Blk 7, Empress Road, Singapore 260007",26/3/1976,02/12/2008,40,31EFEE5D2DE91245,20241211100036
"{""type"":""Point"",""coordinates"":[103.863877615715,1.303141753061011]}",1.303141753061011,103.863877615715,119044,31400.94255759,31720.33301563,GOLDEN MILE FOOD CENTRE,199583,Beach Road,HUP Standard Upgrading,Golden Mile Food Centre,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155571228.jpg,505,Existing,,,,"505, Beach Road, Singapore 199583",1975,04/07/2002,112,34F599BC64ED5790,20241211100036
"{""type"":""Point"",""coordinates"":[103.74592160246587,1.3971847191918951]}",1.3971847191918951,103.74592160246587,119045,18273.88246536,42119.2841634,Heart of Yew Tee,680628,Yew Tee Close,New Centre,Yew Tee Hawker Centre,,628,Under Construction,21/12/2022,04/01/2023,hawker centre/flats/community club/polyclinic/kidney dialysis centre,,2027,,40,940576F260F3C469,20241211100036
"{""type"":""Point"",""coordinates"":[103.87000501449864,1.321463110363858]}",1.321463110363858,103.87000501449864,119046,32082.83670538,33746.22401141,GEYLANG BAHRU MARKET AND FOOD CENTRE,330069,Geylang Bahru,Opted out of HUP,Geylang Bahru Blk 69 (Blk 69 Geylang Bahru Market and Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/blk-69-geylang-bahru.jpg,69,Existing,,,,"Blk 69, Geylang Bahru, Singapore 330069",16/1/1974,,78,AF0F7EE0DF63F56B,20241211100036
"{""type"":""Point"",""coordinates"":[103.7184436782123,1.3496572915944292]}",1.3496572915944292,103.7184436782123,119047,15215.69985694,36864.06396823,MARKET & HAWKER CENTRE (BLK 505 JURONG WEST STREET 52),640505,Jurong West Street 52,HUP Standard Upgrading,Jurong West Street 52 Blk 505,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155040710.jpg,505,Existing,,,,"Blk 505, Jurong West Street 52, Singapore 640505",16/1/1985,02/01/2009,60,CC4C0D3F8B8D8B27,20241211100036
"{""type"":""Point"",""coordinates"":[103.80290387146337,1.2932362444197107]}",1.2932362444197107,103.80290387146337,119048,24615.10674742,30625.03260182,BLK 139 MEI CHIN ROAD,140159,Mei Chin Road,HUP Reconfiguration,Mei Chin Road Blk 159 (Mei Chin Road Market),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154581891.jpg,159,Existing,,,,"Blk 159, Mei Chin Road, Singapore 140159",12/10/1970,08/05/2009,47,255585503ECD44B1,20241211100036
"{""type"":""Point"",""coordinates"":[103.8400222235967,1.3671965379048148]}",1.3671965379048148,103.8400222235967,119049,28746.03533943,38803.16345786,KEBUN BARU MALL,568226,Ang Mo Kio Street 22,HUP Reconfiguration,Ang Mo Kio Street 22 Blk 226H (Kebun Baru Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1259901689557.jpg,226H,Existing,,,,"Blk 226H, Ang Mo Kio Street 22, Singapore 568226",30/9/1976,13/12/2003,29,A658317822D9C4C7,20241211100036
"{""type"":""Point"",""coordinates"":[103.9018254078894,1.3094178879625105]}",1.3094178879625105,103.9018254078894,119050,35624.16903762,32414.39916066,DUNMAN FOOD CENTRE,424768,Onan Road,HUP Standard Upgrading,Dunman Food Centre,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155459807.jpg,271,Existing,,,,"271, Onan Road, Singapore 424768",1974,03/12/2002,30,5B9777943F201078,20241211100036
"{""type"":""Point"",""coordinates"":[103.78823030670418,1.3109966321422568]}",1.3109966321422568,103.78823030670418,119051,22982.10099058,32588.90970507,MARKET & HAWKER CENTRE (BLK 20 GHIM MOH ROAD),270020,Ghim Moh Road,Opted out of HUP,Ghim Moh Road Blk 20,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267848628803.jpg,20,Existing,,,,"Blk 20, Ghim Moh Road, Singapore 270020",24/1/1977,,72,8D96D88D7FC38829,20241211100036
"{""type"":""Point"",""coordinates"":[103.83917606128082,1.3745277374668692]}",1.3745277374668692,103.83917606128082,119052,28651.86555822,39613.81004138,MAYFLOWER MARKET AND FOOD CENTRE,560160,Ang Mo Kio Ave 4,HUP Standard Upgrading,Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265165416622.jpg,160,Existing,,,,"Blk 160/162, Ang Mo Kio Ave 4, Singapore 560160/560162",30/6/1981,31/12/2008,40,19015073199C1B61,20241211100036
"{""type"":""Point"",""coordinates"":[103.7591280191558,1.3119069571999333]}",1.3119069571999333,103.7591280191558,119053,19743.29267593,32689.64600427,AYER RAJAH MARKET,120502,West Coast Drive,Not eligible for HUP,West Coast Drive Blk 502 (Ayer Rajah Market),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265168297394.jpg,502,Existing,,,,"Blk 502, West Coast Drive, Singapore 120502",19/1/1995,,0,957AF43530300ADC,20241211100036
"{""type"":""Point"",""coordinates"":[103.7724915268977,1.3775974234205033]}",1.3775974234205033,103.7724915268977,119054,21230.70628322,39953.3258634,BUKIT PANJANG HAWKER CENTRE,679947,Bukit Panjang Ring Road,New Centre,Bukit Panjang Hawker Centre,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/bukit-panjang-hawker-centre.jpg,2,Existing (new),,,,"2 Bukit Panjang Ring Road, Singapore 679947",31/7/2015,,28,8DDF8033FB7C193A,20241211100036
"{""type"":""Point"",""coordinates"":[103.8273538919747,1.2888308915646167]}",1.2888308915646167,103.8273538919747,119055,27336.18092817,30137.89189301,BEO CRESCENT MARKET,169982,Beo Crescent,HUP Standard Upgrading,Beo Crescent Market,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267807628554.jpg,38A,Existing,,,,"38A, Beo Crescent, Singapore 169982",1965,18/01/2010,32,8777A28ECACA697B,20241211100036
"{""type"":""Point"",""coordinates"":[103.8296234138997,1.2879705166198658]}",1.2879705166198658,103.8296234138997,119056,27588.75926154,30042.75559454,HAVELOCK ROAD COOKED FOOD CENTRE,161022,Havelock Road,HUP Standard Upgrading,Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262152823428.jpg,22A,Existing,,,,"Blk 22A/B, Havelock Road, Singapore 161022/162022",16/11/1969,27/04/2007,30,28023C1F2CCF114A,20241211100036
"{""type"":""Point"",""coordinates"":[103.85700370906183,1.335382613078359]}",1.335382613078359,103.85700370906183,119057,30635.9054064,35285.35382863,KIM KEAT PALM MARKET AND FOOD CENTRE,310022,Lorong 7 Toa Payoh,HUP Reconfiguration,Toa Payoh Lorong 7 Blk 22 (Kim Keat Palm Market and Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265168256123.jpg,22,Existing,,,,"Blk 22, Lorong 7 Toa Payoh, Singapore 310022",2/3/1970,16/07/2004,61,585B80E3515B5A8D,20241211100036
"{""type"":""Point"",""coordinates"":[103.94462942285355,1.3453734735523084]}",1.3453734735523084,103.94462942285355,119058,40387.68129711,36390.36182043,TAMPINES ROUND MARKET AND FOOD CENTRE,521137,Tampines Street 11,HUP Reconfiguration,Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154543785.jpg,137,Existing,,,,"Blk 137, Tampines Street 11, Singapore 521137",30/11/1982,08/01/2006,45,75A738835FEB641F,20241211100036
"{""type"":""Point"",""coordinates"":[103.83915227449918,1.366800962194856]}",1.366800962194856,103.83915227449918,119059,28649.22046939,38759.42249842,KEBUN BARU MALL,564226,Ang Mo Kio Ave 1,HUP Standard Upgrading,Ang Mo Kio Ave 1 Blk 226D (Kebun Baru Market and Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154827180.jpg,226D,Existing,,,,"Blk 226D, Ang Mo Kio Ave 1, Singapore 564226",13/10/1976,20/01/2010,10,6F098F4A2970AA13,20241211100036
"{""type"":""Point"",""coordinates"":[103.84323851850745,1.2822749608841026]}",1.2822749608841026,103.84323851850745,119060,29104.00785148,29412.97226038,CHINATOWN COMPLEX,050335,Smith Street,HUP Reconfiguration,Smith Street Blk 335 (Chinatown Complex Market),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265168178798.jpg,335,Existing,,,,"Blk 335, Smith Street, Singapore 050335",31/5/1983,30/04/2008,226,3F95409CDBC98F04,20241211100036
"{""type"":""Point"",""coordinates"":[103.89272100789816,1.3829816322433666]}",1.3829816322433666,103.89272100789816,119061,34610.73598305,40548.6805768,SENGKANG GRAND MALL,544692,Compassvale Bow,New Centre,Buangkok Hawker Centre,,70,Existing (new),18/09/2019,29/10/2019,hawker centre/community club/bus interchange/private residential and commercial units,,15/2/2023,,38,02E55411403480BF,20241211100036
"{""type"":""Point"",""coordinates"":[103.87930985514092,1.3170350238501258]}",1.3170350238501258,103.87930985514092,119062,33118.38245921,33256.6059892,SIMS VISTA MARKET AND FOOD CENTRE,380049,Sims Place,HUP Reconfiguration,Sims Place Blk 49 (Sims Vista Market and Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262153128123.jpg,49,Existing,,,,"Blk 49, Sims Place, Singapore 380049",20/9/1976,15/11/2006,66,92CF76AF56112014,20241211100036
"{""type"":""Point"",""coordinates"":[103.93321797031916,1.3270627418405785]}",1.3270627418405785,103.93321797031916,119063,39117.7922475,34365.59682391,MARKET & HAWKER CENTRE (BLK 216 BEDOK NORTH STREET 1),460216,Bedok North Street 1,HUP Standard Upgrading,Bedok North Street 1 Blk 216,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154705733.jpg,216,Existing,,,,"Blk 216, Bedok North Street 1, Singapore 460216",21/8/1979,15/12/2008,82,36A81229075551DE,20241211100036
"{""type"":""Point"",""coordinates"":[103.83956972873328,1.3119155203922301]}",1.3119155203922301,103.83956972873328,119064,28695.69359864,32690.47129112,NEWTON FOOD CENTRE,229495,Clemenceau Ave North,HUP Standard Upgrading,Newton Food Centre,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155777485.jpg,500,Existing,,,,"500, Clemenceau Ave North, Singapore 229495",1971,12/06/2006,83,7AD9A56502C39FEE,20241211100036
"{""type"":""Point"",""coordinates"":[103.75975140548066,1.3118030896284905]}",1.3118030896284905,103.75975140548066,119065,19812.66940685,32678.15875963,AYER RAJAH FOOD CENTRE,120503,West Coast Drive,HUP Standard Upgrading,West Coast Drive Blk 503 (Ayer Rajah Food Centre),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265168322420.jpg,503,Existing,,,,"Blk 503, West Coast Drive, Singapore 120503",26/3/1979,15/12/2002,80,DBF86F8C83CADDB4,20241211100036
"{""type"":""Point"",""coordinates"":[103.92462131526736,1.3320672771423439]}",1.3320672771423439,103.92462131526736,119066,38161.05006705,34918.93639777,MARKET & HAWKER CENTRE (BLK 538 BEDOK NORTH STREET 3),460538,Bedok North Street 3,HUP Standard Upgrading,Bedok North Street 3 Blk 538,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262227194623.jpg,538,Existing,,,,"Blk 538, Bedok North Street 3, Singapore 460538",30/4/1979,03/12/2010,40,CECFC57BE31A166A,20241211100036
"{""type"":""Point"",""coordinates"":[103.95157134251521,1.373472520364779]}",1.373472520364779,103.95157134251521,119067,41160.09009466,39497.45413079,PASIR RIS CENTRAL HAWKER CENTRE,519641,Pasir Ris Central,New Centre,Pasir Ris Central Hawker Centre,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/pasir-ris-central-hawker-centre.jpg,110,Existing (new),15/07/2015,29/07/2015,,"Blk 110, Pasir Ris Central, Singapore 519641",16/10/2017,,42,AA6AC3A05C7D143A,20241211100036
"{""type"":""Point"",""coordinates"":[103.8406280871954,1.3809876170167132]}",1.3809876170167132,103.8406280871954,119068,28813.45603217,40328.11105996,ANG MO KIO 628 MARKET,560628,Ang Mo Kio Ave 4,HUP Rebuilding,Ang Mo Kio Ave 4 Blk 628 (Ang Mo Kio 628 Market),http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/blk-628-ang-mo-kio-ave-4.jpg,628,Existing,,,,"Blk 628, Ang Mo Kio Ave 4, Singapore 560628",31/12/1979,16/12/2009,52,B7FF62A360BFFC74,20241211100036
"{""type"":""Point"",""coordinates"":[103.81416592401631,1.3241598522323794]}",1.3241598522323794,103.81416592401631,119069,25868.50171331,34044.39404008,ADAM FOOD CENTRE,289876,Adam Road,HUP Standard Upgrading,Adam Road Food Centre,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267437914368.jpg,2,Existing,,,,"2, Adam Road, Singapore 289876",1974,30/04/2002,32,7078FE64513F3197,20241211100036
