Station_Name,Station_Type,Station_Name_Short,Type_Code,Shape_Area,Shape_Length,Attachment
YIO CHU KANG MRT STATION,MRT,,0,7848.63825204,498.338061686,
SEMBAWANG MRT STATION,MRT,,0,9764.93390888,606.848687798,
LAYAR LRT STATION,LRT,,0,906.60926942,150.823669882,
RANGGUNG LRT STATION,LRT,,0,905.14478061,150.776673424,
MARINA SOUTH MRT STATION,MRT,,0,9402.94069989,603.351507467,
KRANJI MRT STATION,MRT,,0,11677.6026451,600.728222722,
SOMERSET MRT STATION,MRT,,0,5836.29015514,563.774241554,
CALDECOTT MRT STATION,MRT,,0,6959.39414286,513.493809903,CC17_CDT STN.zip
CHOA CHU KANG LRT STATION,LRT,,0,1257.25606442,174.624427665,
PENDING LRT STATION,LRT,,0,1134.4074717,158.222765341,
GREAT WORLD MRT STATION,MRT,,0,11067.2291036,1329.7671058,
PAYA LEBAR MRT STATION,MRT,,0,6208.64676988,455.473490939,
SENGKANG LRT DEPOT,LRT,,0,35101.7525773,902.365078158,
RUMBIA LRT STATION,LRT,,0,908.969188595,150.892988469,
PHOENIX LRT STATION,LRT,,0,1088.62504566,139.855156832,
GARDENS BY THE BAY MRT STATION,MRT,,0,10614.0258332,919.291794838,
TAI SENG MRT STATION,MRT,,0,7082.83094228,654.750706582,CC11_TSG STN.zip
YISHUN MRT STATION,MRT,,0,6639.14216238,413.723509118,
LAKESIDE MRT STATION,MRT,,0,8746.36734622,461.657103681,
DAKOTA MRT STATION,MRT,,0,7879.17029504,560.27119696,CC8_DKT STN.zip
CALDECOTT MRT STATION,MRT,,0,6837.426364,662.950907682,
DOWNTOWN MRT STATION,MRT,,0,4801.85719429,325.482144924,
TIONG BAHRU MRT STATION,MRT,,0,6598.60951057,816.151894569,
WOODLANDS MRT STATION,MRT,,0,15970.7049061,726.602117092,
CHINESE GARDEN MRT STATION,MRT,,0,8233.44951442,493.964866671,
PASIR RIS MRT STATION,MRT,,0,5537.69464645,385.443974113,
WOODLANDS NORTH MRT STATION,MRT,,0,13213.3001892,732.398019594,
